mechanism,composition,scale,model,final_reserve_mean,final_reserve_std,average_reserve_mean,average_reserve_std,steps_survived_mean,steps_survived_std,total_withdrawal_mean,total_withdrawal_std,average_reward_mean,average_reward_std,social_welfare_mean,social_welfare_std,mean_absolute_reward_gap_mean,mean_absolute_reward_gap_std,reward_std_mean,reward_std_std,reward_range_mean,reward_range_std,total_messages_mean,total_messages_std,total_rounds_mean,total_rounds_std,wall_time_seconds_mean,wall_time_seconds_std,debate_override_rate_mean,debate_override_rate_std,crisis_rate,reward_profit_mean,reward_profit_std,reward_sustainability_mean,reward_sustainability_std,reward_balanced_mean,reward_balanced_std,reward_risk_averse_mean,reward_risk_averse_std,llm_calls_mean,llm_total_latency_ms_mean,llm_avg_latency_ms_mean,leader_index,leader_name,leader_role
independent,standard,standard,deepseek/deepseek-v4-flash,0.0,,38.52813628768558,,14.0,,136.0,,14.680631562891435,,73.40315781445717,,18.690694749686852,,17.197413323704595,,45.0,,0.0,,0.0,,400.77471884500005,,0.0,,1.0,34.5,,-9.0,,6.183157814457179,,7.22,,70.0,400772.3987169993,5725.319981671419,,,
centralized_profit,standard,standard,deepseek/deepseek-v4-flash,1.6887897053143393,,35.33779003990922,,14.0,,132.0,,12.656225961223416,,63.28112980611708,,17.768423358078273,,16.22156222061905,,43.0,,84.0,,14.0,,466.5420944570001,,0.35714285714285715,,1.0,30.5,,-12.0,,4.9473540120107895,,9.333775794106288,,70.0,466539.81527099904,6664.854503871415,0.0,Growth Department,profit
centralized_sustainability,standard,standard,deepseek/deepseek-v4-flash,72.4804592658745,,64.69908584757161,,20.0,,118.0,,23.339145418625822,,116.69572709312911,,1.0573673301986832,,1.3217091627483541,,3.304272906870885,,120.0,,20.0,,297.7567761800001,,0.9,,0.0,24.0,,24.0,,24.0,,20.695727093129115,,100.0,297753.3752179993,2977.533752179993,2.0,Compliance Department,sustainability
centralized_risk_averse,standard,standard,deepseek/deepseek-v4-flash,73.14145277145383,,66.20380563713204,,20.0,,115.0,,22.757882304433302,,113.7894115221665,,0.3873883129067178,,0.4842353911333973,,1.2105884778334932,,120.0,,20.0,,385.920856189,,0.95,,0.0,23.0,,23.0,,23.0,,21.789411522166507,,100.0,385917.51791399793,3859.1751791399793,4.0,Risk Department,risk_averse
structured_debate,standard,standard,deepseek/deepseek-v4-flash,22.043503536021333,,38.97288806263304,,20.0,,155.0,,26.840532545148854,,134.20266272574426,,12.357270991472797,,11.065063273891631,,29.43560642244925,,300.0,,40.0,,529.322828198,,0.55,,0.0,39.5,,24.0,,12.56439357755075,,18.63826914819352,,100.0,529319.1646440027,5293.1916464400265,,,
llm_centralized,standard,standard,deepseek/deepseek-v4-flash,17.190383137355372,,39.73615650538179,,20.0,,157.0,,24.190392743460812,,120.95196371730407,,8.644964816735635,,8.018095147272271,,19.51551505229886,,120.0,,20.0,,545.508423275,,0.95,,0.0,32.0,,17.0,,12.484484947701143,,27.467478769602913,,120.0,545503.6403050004,4545.863669208336,,,
crewai_debate,standard,standard,deepseek/deepseek-v4-flash,40.216121302143584,,50.03693697391113,,20.0,,156.0,,29.730634310166117,,148.6531715508306,,6.4547725529214794,,5.917510708748113,,14.171164227879622,,220.0,,60.0,,1814.5962601249998,,0.95,,0.0,36.0,,24.0,,30.824335778710225,,21.828835772120378,,320.0,1812010.6073479902,5662.533147962469,,,
independent,aggressive,standard,deepseek/deepseek-v4-flash,1.5999289323504335,,40.75300649891286,,10.0,,114.0,,15.444627692362698,,77.22313846181349,,8.874378073526318,,8.507082739483982,,19.68800142135299,,0.0,,0.0,,251.25362260699967,,0.0,,1.0,22.333333333333332,,,,5.911139883166488,,4.311998578647009,,50.0,251252.05008399917,5025.041001679983,,,
centralized_profit,aggressive,standard,deepseek/deepseek-v4-flash,2.537551849927647,,41.273203455774095,,10.0,,113.0,,15.283499836386842,,76.4174991819342,,9.323479964970758,,9.08969870568445,,20.689248963001447,,60.0,,10.0,,251.31176778699955,,0.0,,1.0,22.666666666666668,,,,5.106748144935651,,3.310751036998554,,50.0,251310.0765370009,5026.201530740018,0.0,Growth Department,profit
centralized_risk_averse,aggressive,standard,deepseek/deepseek-v4-flash,74.01812278214193,,68.44912881990572,,20.0,,110.0,,21.787974230059096,,108.93987115029547,,0.3392412319054472,,0.424051539881809,,1.0601288497045225,,120.0,,20.0,,337.1676414570002,,0.95,,0.0,22.0,,,,22.0,,20.939871150295478,,100.0,337164.2377480075,3371.642377480075,4.0,Risk Department,risk_averse
